epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.834,3.10137,3.67915,1.26801,0.03905,0.187,0.01807,0.00622,3.12387,1366.51,1.41705,0.000415875,0.000415875,0.000415875
2,188.882,3.0079,2.79822,1.19722,0.01853,0.10971,0.02141,0.00816,3.20922,286.617,1.31598,0.00075012,0.00075012,0.00075012
3,255.541,2.86863,2.21188,1.16795,0.02337,0.15773,0.03033,0.01096,2.65365,46.0399,1.17704,0.00100186,0.00100186,0.00100186
4,321.228,2.78665,2.07269,1.11434,0.14418,0.25145,0.13531,0.0541,2.51704,2.10423,1.14786,0.00087875,0.00087875,0.00087875
5,390.148,2.60376,1.94964,1.09659,0.26218,0.26884,0.16771,0.06963,2.36375,1.98327,1.14906,0.000755,0.000755,0.000755
6,498.147,2.50363,1.88769,1.07909,0.18862,0.24451,0.13325,0.05868,2.36573,1.99565,1.1125,0.00063125,0.00063125,0.00063125
7,604.745,2.47036,1.83555,1.07035,0.2277,0.29269,0.16058,0.0731,2.25216,1.89597,1.09458,0.0005075,0.0005075,0.0005075
8,704.703,2.37659,1.81066,1.05736,0.23703,0.31724,0.1658,0.07494,2.25138,1.84968,1.10233,0.00038375,0.00038375,0.00038375
9,806.496,2.33838,1.76757,1.05456,0.19425,0.30212,0.14706,0.06828,2.22934,1.86966,1.10083,0.00026,0.00026,0.00026
10,907.504,2.3192,1.75415,1.04548,0.21786,0.32383,0.15017,0.06995,2.25872,1.81782,1.10597,0.00013625,0.00013625,0.00013625
