epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.48099,1.04729,5.43439,1.41235,0,0,0,0,0,0,0,1.19e-06,1.19e-06,1.19e-06
2,2.87011,1.39395,3.88661,1.66637,0,0,0,0,0,0,0,3.45219e-06,3.45219e-06,3.45219e-06
3,4.24472,0.94388,3.05664,1.32432,0,0,0,0,0,0,0,5.5573e-06,5.5573e-06,5.5573e-06
4,6.08858,1.45575,4.70777,1.7217,0,0,0,0,0,0,0,7.50533e-06,7.50533e-06,7.50533e-06
5,7.98209,1.31119,2.7719,1.5683,0,0,0,0,0,0,0,9.29628e-06,9.29628e-06,9.29628e-06
6,9.88853,1.34463,3.85222,1.63984,0,0,0,0,0,0,0,1.09302e-05,1.09302e-05,1.09302e-05
7,11.9063,1.12756,3.01835,1.4928,0,0,0,0,0,0,0,1.24069e-05,1.24069e-05,1.24069e-05
8,13.6676,1.29923,4.50653,1.82406,0,0,0,0,0,0,0,1.37267e-05,1.37267e-05,1.37267e-05
9,15.5905,1.22109,3.11072,1.47823,0,0,0,0,0,0,0,1.48893e-05,1.48893e-05,1.48893e-05
10,17.3908,1.24161,2.95755,1.60176,0,0,0,0,0,0,0,1.58948e-05,1.58948e-05,1.58948e-05
11,19.1975,1.36964,3.0872,1.65309,0,0,0,0,0,0,0,1.67433e-05,1.67433e-05,1.67433e-05
12,21.0817,1.45564,2.32293,1.90091,0,0,0,0,0,0,0,1.74347e-05,1.74347e-05,1.74347e-05
13,22.9668,0.88073,2.41877,1.19578,0,0,0,0,0,0,0,1.7969e-05,1.7969e-05,1.7969e-05
14,24.761,1.03874,3.14624,1.52454,0,0,0,0,0,0,0,1.83462e-05,1.83462e-05,1.83462e-05
15,26.5212,1.2041,3.08468,1.49056,0,0,0,0,0,0,0,1.85664e-05,1.85664e-05,1.85664e-05
16,28.3044,1.11066,2.47222,1.42629,0,0,0,0,0,0,0,1.86295e-05,1.86295e-05,1.86295e-05
17,30.1042,1.18665,3.34645,1.46313,0,0,0,0,0,0,0,1.85354e-05,1.85354e-05,1.85354e-05
18,32.0841,1.26827,2.87281,1.52073,0,0,0,0,0,0,0,1.82844e-05,1.82844e-05,1.82844e-05
19,34.0763,1.24639,2.9738,1.61075,0,0,0,0,0,0,0,1.78762e-05,1.78762e-05,1.78762e-05
20,36.0779,1.76904,5.01327,2.0407,0,0,0,0,0,0,0,1.73109e-05,1.73109e-05,1.73109e-05
21,38.0433,1.18383,2.62368,1.57351,0,0,0,0,0,0,0,1.65886e-05,1.65886e-05,1.65886e-05
22,39.9429,0.75611,2.21856,1.11826,0,0,0,0,0,0,0,1.57092e-05,1.57092e-05,1.57092e-05
23,41.9283,1.24984,4.67352,1.68202,0,0,0,0,0,0,0,1.46727e-05,1.46727e-05,1.46727e-05
24,43.9265,0.81074,1.97978,1.38274,0,0,0,0,0,0,0,1.34791e-05,1.34791e-05,1.34791e-05
25,45.6232,1.35532,3.27227,1.61737,0,0,0,0,0,0,0,1.21285e-05,1.21285e-05,1.21285e-05
26,47.431,1.19433,2.20773,1.30572,0,0,0,0,0,0,0,1.06207e-05,1.06207e-05,1.06207e-05
27,49.4849,0.71957,1.88062,1.05804,0,0,0,0,0,0,0,8.95594e-06,8.95594e-06,8.95594e-06
28,51.549,0.94256,2.16776,1.15798,0,0,0,0,0,0,0,7.13405e-06,7.13405e-06,7.13405e-06
29,53.4889,1.22195,2.00154,1.43357,0,0,0,0,0,0,0,5.15508e-06,5.15508e-06,5.15508e-06
30,58.7766,1.12507,2.68073,1.51333,0.64326,0.68333,0.76863,0.55249,1.76712,1.32924,1.44252,3.01903e-06,3.01903e-06,3.01903e-06
