epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9898,1.27501,2.70837,1.11889,0.0571,0.98747,0.80557,0.48209,1.07121,2.65787,0.88897,0.000652174,0.000652174,0.000652174
2,54.384,1.10137,1.57907,0.98167,0.96854,0.69454,0.91051,0.55697,1.21047,2.09892,0.93266,0.00118828,0.00118828,0.00118828
3,82.0192,1.08943,1.05988,1.01159,0.97149,0.93958,0.98329,0.67095,1.13762,1.04059,1.00302,0.00159238,0.00159238,0.00159238
4,118.132,1.1555,0.97623,1.05825,0.96678,0.94833,0.98534,0.66408,1.23484,1.01635,1.06547,0.001406,0.001406,0.001406
5,155.244,1.04671,0.90059,1.03033,0.97358,0.97744,0.9901,0.70934,0.98047,0.85074,1.04443,0.001208,0.001208,0.001208
6,192.762,1.02749,0.84502,1.03444,0.98303,0.96992,0.99022,0.7091,0.95019,0.802,1.04191,0.00101,0.00101,0.00101
7,232.11,0.98183,0.80367,1.00541,0.96446,0.98496,0.98998,0.74558,0.92137,0.71505,1.01749,0.000812,0.000812,0.000812
8,273.037,0.96656,0.77282,0.99486,0.96579,0.97995,0.98926,0.75192,0.90258,0.67647,1.00452,0.000614,0.000614,0.000614
9,309.178,0.92836,0.75219,0.99808,0.96926,0.97744,0.99025,0.75605,0.88589,0.64437,0.9897,0.000416,0.000416,0.000416
10,339.212,0.91455,0.72634,0.97468,0.975,0.97752,0.9906,0.7594,0.87781,0.63653,0.98623,0.000218,0.000218,0.000218
